Sentence,max_min_diff,Perplexity,flesch_reading_ease,flesch_reading_grade
"In modern digital world , electronic products are widely used in daily lives such as Smart phones , computers and etc .
",8.205857526510954,41.375274658203125,43.73,11.9
"In work places , electronic devices such as computers are also inevitable to use to increase the productivity of the corporation .
",11.836373607628047,62.896522521972656,25.8,14.6
"The convenience and high efficiency of using electronic products is being noticed by people worldwide .
",10.099643960595131,69.19145965576172,30.87,12.7
"Some people started to think if electronic products can be further operated to more advanced utilization and replace human beings for better performances .
",11.532546043395996,186.5081787109375,31.21,14.6
"Surveillance technology such as RFID ( radio-frequency identification ) is one type of examples that has currently been implemented .
",11.873841320630163,26.572067260742188,-5.01,18.2
"In this essay , I will discuss that if surveillance technology such as RFID ( radio-frequency identification ) should be used or not to track people .
",10.91081098234281,26.694541931152344,31.21,14.6
"Personally , I agree to a large extent that surveillance technology such as RFID should be used to track people .
",10.193284481298178,30.774599075317383,52.19,10.7
"Surveillance technology such as RFID can be operated twenty-four hours with the absence of operators to track done every detail about human activities .
",12.078882252331823,64.54676055908203,22.75,15.8
"For instance , in militaries which are of high importance , surveillance technology is essential as it is a way to provide undeniable evidences if anything are fault .
",14.80392675101757,99.12986755371094,28.17,15.8
"In supermarkets where it is difficult to catch stealers , surveillance technology which makes records that can be replayed or detect stealers on the spot are superior to use .
",13.089020866900682,125.56017303466797,34.6,15.4
"The high accuracy in utilizing surveillance technology eliminates the amount of disagreements among people .
",13.120357304811478,308.4255676269531,14.97,14.7
"If people are aware of the existence of surveillance , the chance for them to follow rules and orders is high .
",8.455845214426517,40.835540771484375,59.64,9.9
"It is useful as it reduces the chances of wrong doings that may occur .
",8.49386379122734,38.39887237548828,74.19,6.4
"Therefore , surveillance technology makes our society more ordered .
",12.508880257606506,186.22470092773438,-4.33,15.9
"Risks can be analyzed if there is a record of what was happened in the past .
",8.409266456961632,36.2667236328125,80.62,6.0
"In late nineteenth century , there was a severe air crash happening at Miami international airport .
",9.753065019845963,109.70122528076172,22.41,13.9
"The air cargo of the Valujet plane was on fire after the plane had taken off .
",9.114013093523681,52.396366119384766,72.16,7.2
"Sooner or later , the electric systems were short circuited as a result that the airplane was out of control and nose diving to the ground with extremely high speed .
",9.029319074819796,30.54674530029297,50.5,13.4
"All passengers and pilots were died .
",9.930910587310791,232.86468505859375,56.93,6.8
"After finding and analyzing the black box of the Valujet after the incidence , police investigators found out reasons for causing this severe incidence .
",13.01651418209076,140.93931579589844,14.29,17.0
"Surveillance technology can be used to detect very risky events and prevent its happening in the future , hence to save more lives .
",8.938352923840284,34.278743743896484,57.61,10.7
"In addition , if surveillance technology is even better developed , it can be used to detect the problem before the real accidence has happened .
",11.765105664730072,55.118595123291016,22.75,15.8
"However , the dark side of using surveillance technology is that it results in the invasion of privacy .
",11.577505144290626,31.3710994720459,28.84,13.5
"People under supervision are under high pressure to perform naturally .
",9.725327968597412,102.65142822265625,10.56,14.3
"People are less likely to enjoy life under surveillance .
",7.821646109223366,57.88831329345703,45.42,9.2
"Therefore , surveillance technology provides convenience to the society but makes more inconvenience to individuals .
",12.369792342185974,121.4197998046875,-10.42,18.2
"Therefore , surveillance technology can be used but the use of surveillance should be modified in such a way that individuals are less affected in normal life .
",13.520464956760406,35.475460052490234,36.63,14.6
"In general , surveillance technology benefits the society and should be applied with the consideration of individuals ' life .
",10.357621669769287,81.26899719238281,-13.47,19.4
