,Sentence,Label,weightedSum,sum,min,max/min,max/med,med/min,med,bleu
0,"In modern digital world , electronic products are widely used in daily lives such as Smart phones , computers and etc .
",0,26.03397712757611,78.31421590596437,8.009445190429688,7.969585917890072,4.82944655418396,3.140139363706112,3.1799986362457275,0.53228860493828
1,"In work places , electronic devices such as computers are also inevitable to use to increase the productivity of the corporation .
",0,33.29747018207346,94.29670299589634,10.5996675491333,10.578632935881615,7.408564567565918,3.1700683683156967,3.191102981567383,0.7590642198243758
2,"The convenience and high efficiency of using electronic products is being noticed by people worldwide .
",0,29.539916305623656,73.58445866405964,10.451759338378906,10.333589717745781,6.068399429321289,4.265190288424492,4.383359909057617,0.8663262786122014
3,"Some people started to think if electronic products can be further operated to more advanced utilization and replace human beings for better performances .
",0,34.29265444933603,123.01181614398956,9.779800415039062,8.849729895591736,5.268022537231445,3.5817073583602905,4.511777877807617,0.9129657485960063
4,"Surveillance technology such as RFID ( radio-frequency identification ) is one type of examples that has currently been implemented .
",0,30.015812386529515,81.46229254291393,10.665769577026367,10.662859386997297,8.152639627456665,2.5102197595406324,2.513129949569702,0.6269523431007493
5,"In this essay , I will discuss that if surveillance technology such as RFID ( radio-frequency identification ) should be used or not to track people .
",0,29.68193699407616,96.06980197876692,11.427040100097656,11.407308669760823,9.055385112762451,2.351923556998372,2.371654987335205,0.6092731467609276
6,"Personally , I agree to a large extent that surveillance technology such as RFID should be used to track people .
",0,27.96676428614933,72.68426763825119,10.120892524719238,10.103043584153056,7.338718414306641,2.7643251698464155,2.7821741104125977,0.7997222808340979
7,"Surveillance technology such as RFID can be operated twenty-four hours with the absence of operators to track done every detail about human activities .
",0,39.340742024168634,125.30569978826679,12.682477951049805,12.679567761020735,8.587944984436035,4.0916227765847,4.0945329666137695,0.9129657485960063
8,"For instance , in militaries which are of high importance , surveillance technology is essential as it is a way to provide undeniable evidences if anything are fault .
",0,40.809556508384915,137.29544977657497,14.250298500061035,14.223140912130475,10.33213758468628,3.8910033274441957,3.918160915374756,0.7235020694809541
9,"In supermarkets where it is difficult to catch stealers , surveillance technology which makes records that can be replayed or detect stealers on the spot are superior to use .
",0,46.52054899630914,165.57821062207222,16.700468063354492,16.49698179960251,11.70873737335205,4.788244426250458,4.991730690002441,0.7549410827807058
10,"The high accuracy in utilizing surveillance technology eliminates the amount of disagreements among people .
",0,37.35169025806845,91.69482127204537,11.675418853759766,11.653444554656744,5.379830360412598,6.273614194244146,6.295588493347168,0.856713382523102
11,"If people are aware of the existence of surveillance , the chance for them to follow rules and orders is high .
",0,28.920574209872033,82.57398546114564,8.857391357421875,8.794910702854395,5.9310057163238525,2.8639049865305424,2.9263856410980225,0.7590642198243758
12,"It is useful as it reduces the chances of wrong doings that may occur .
",0,26.28327849931466,63.86241985857487,7.967911720275879,7.879524394869804,3.769474983215332,4.110049411654472,4.198436737060547,0.856713382523102
13,"Therefore , surveillance technology makes our society more ordered .
",0,31.21588557931682,55.2639821767807,13.525077819824219,12.20939302444458,9.319620609283447,2.889772415161133,4.2054572105407715,0.5507970427873699
14,"Risks can be analyzed if there is a record of what was happened in the past .
",0,27.112982560330273,66.67451336979866,8.200922966003418,7.855310291051865,5.299406051635742,2.5559042394161224,2.901516914367676,0.8747264180747365
15,"In late nineteenth century , there was a severe air crash happening at Miami international airport .
",0,32.497279241837674,81.57562620192766,9.915937423706055,9.868586800992489,5.20780611038208,4.660780690610409,4.708131313323975,0.6815190674406459
16,"The air cargo of the Valujet plane was on fire after the plane had taken off .
",0,32.109331746641594,79.86076470464468,10.316550254821777,10.292777337133884,7.338161468505859,2.954615868628025,2.978388786315918,0.7447165412894419
17,"Sooner or later , the electric systems were short circuited as a result that the airplane was out of control and nose diving to the ground with extremely high speed .
",0,33.90967138178114,121.0785530192079,9.885749816894531,9.8843571114121,7.456984043121338,2.4273730682907626,2.4287657737731934,0.7297656993297125
18,"All passengers and pilots were died .
",0,32.90194023065851,48.139787793159485,15.3689603805542,14.012056708335876,9.192173957824707,4.819882750511169,6.176786422729492,0.6591682262823905
19,"After finding and analyzing the black box of the Valujet after the incidence , police investigators found out reasons for causing this severe incidence .
",0,38.286025155796096,137.0328652560711,11.219393730163574,11.077606052160263,6.385715484619141,4.691890567541122,4.833678245544434,0.7022327758383314
20,"Surveillance technology can be used to detect very risky events and prevent its happening in the future , hence to save more lives .
",0,30.23555911100457,96.2221604436636,9.479507446289062,9.444809511303902,6.530786037445068,2.9140234738588333,2.948721408843994,0.7803837666807638
21,"In addition , if surveillance technology is even better developed , it can be used to detect the problem before the real accidence has happened .
",0,38.00377287039624,112.03011482954025,12.836960792541504,12.312245726585388,9.998308181762695,2.313937544822693,2.8386526107788086,0.6203071614650456
22,"However , the dark side of using surveillance technology is that it results in the invasion of privacy .
",0,29.601880436316495,64.1822595577687,10.164677619934082,10.144208012148738,8.012366533279419,2.131841478869319,2.152311086654663,0.7773745010088242
23,"People under supervision are under high pressure to perform naturally .
",1,31.44792245134613,59.66997671127319,12.977301597595215,12.019872665405273,8.218979358673096,3.8008933067321777,4.758322238922119,0.7986766010966401
24,"People are less likely to enjoy life under surveillance .
",1,22.935065955791018,42.19728475436568,7.9565887451171875,7.896008554846048,3.437711715698242,4.458296839147806,4.518877029418945,0.7758953294014638
25,"Therefore , surveillance technology provides convenience to the society but makes more inconvenience to individuals .
",0,32.7043177565589,78.21628189086914,13.525077819824219,13.018659710884094,8.634343147277832,4.384316563606262,4.890734672546387,0.7325681762384697
26,"Therefore , surveillance technology can be used but the use of surveillance should be modified in such a way that individuals are less affected in normal life .
",1,34.81915503868291,101.02364852279425,13.525077819824219,13.426909275352955,10.63596487045288,2.790944404900074,2.889112949371338,0.776217700859753
27,"In general , surveillance technology benefits the society and should be applied with the consideration of individuals ' life .
",0,33.45667623764968,95.5658990740776,10.574357986450195,10.38074991106987,6.666518688201904,3.7142312228679657,3.907839298248291,0.6469848569901104
28,"I do not agree on this argument that surveillance technology should not be used to track people .
",0,27.818813300357206,68.82291580736637,10.421394348144531,10.184559687972069,7.457863807678223,2.726695880293846,2.9635305404663086,0.8821303640394135
29,"In this fast moving society , technology is always improving to catch up the fast pace of this world and most surveillance technology is used by the police or other army usage to track people down .
",0,37.543053329606295,144.83303199708462,14.122888565063477,13.915610507130623,11.313862085342407,2.6017484217882156,2.8090264797210693,0.8604478856742221
30,"Although the surveillance technology is an issue in invading the human privacy , it has also brought us lots of benefits and security .
",0,32.73381345742294,97.44941153563559,12.645750045776367,12.6301065441221,8.892940521240234,3.7371660228818655,3.752809524536133,0.7803837666807638
31,"There are two points supporting this argument .
",1,24.10292269976344,36.867713928222656,11.505875587463379,10.293353080749512,8.876339197158813,1.4170138835906982,2.6295363903045654,0.7098857563845141
32,"Firstly , security systems are improved in many areas such as school campus or at the workplace .
",0,33.76811896936344,85.06928119808435,11.421181678771973,11.400404833257198,8.045409202575684,3.3549956306815147,3.375772476196289,0.7642127155290915
33,"Secondly , it makes it possible for parents to track their children and also their elderly parents .
",1,25.0928550468242,63.42085528373718,8.701759338378906,8.404618680477142,5.458219766616821,2.946398913860321,3.243539571762085,0.7642127155290915
34,"Therefore , this technology should be used to track people .
",1,23.26087570107609,45.519007086753845,8.228178024291992,7.609530568122864,3.995326519012451,3.6142040491104126,4.232851505279541,0.59677388028245
35,"Many of this surveillance are being implemented in the government sectors , military areas to enhance their security .
",0,32.029513196678934,92.3647791147232,11.047224998474121,9.597084403038025,6.022518634796143,3.5745657682418823,5.0247063636779785,0.7179060700132714
36,"It can also be found in schools and workplaces .
",1,21.913081301461716,37.22700309753418,8.56458854675293,8.083963871002197,5.643220901489258,2.4407429695129395,2.921367645263672,0.7758953294014638
37,"It is useful to the government and the people in the law sector .
",0,27.487418700522053,59.87335202097893,9.353001594543457,9.008735090494156,6.890114784240723,2.1186203062534332,2.4628868103027344,0.8456030878019729
38,"They can maintain social control and recognize threats .
",1,25.384395769524417,48.26752758026123,8.46931266784668,6.3709046840667725,3.9191975593566895,2.451707124710083,4.55011510848999,0.7472034105707327
39,"Video surveillance gives people a sense of security should anything happen .
",1,30.272237261181374,56.67282476276159,10.055525779724121,9.999112464487553,6.977073907852173,3.02203855663538,3.0784518718719482,0.8172191106845063
40,"In addition , it can provide all day surveillance around the school or office with little manpower needed .
",1,29.685912157329927,91.72175669670105,9.798074722290039,9.082581877708435,5.561461448669434,3.5211204290390015,4.2366132736206055,0.7388186511404097
41,"For example , intruders can be detected if there are any in schools or offices .
",1,31.175692389642794,69.35584449768066,12.6636381149292,11.37615966796875,9.98572587966919,1.3904337882995605,2.6779122352600098,0.6856279134950727
42,"This can protect the students from being in a dangerous situation in particularly for the small children who are studying in nursery .
",0,33.50737779687041,97.92637759447098,11.358792304992676,11.001135408878326,7.883995056152344,3.1171403527259827,3.474797248840332,0.9089998905159377
43,"In addition , it can also prevent theft .
",1,23.645707574980406,41.117637038230896,9.798074722290039,8.629619479179382,6.146759510040283,2.482859969139099,3.651315212249756,0.3918277695377932
44,"This technology can also be a helpful tool to assist the law enforcers such as the police to collect evidences of crime after it occurred .
",0,27.74152512395511,96.66773119661957,9.045255661010742,9.035296841524541,6.482244491577148,2.553052349947393,2.5630111694335938,0.919942412538118
45,"This can increase the efficiency of solving the crime and thus decreasing the amount of criminal acts or people .
",0,29.83136749827988,81.5842176862061,9.219865798950195,9.201446857303381,4.960371971130371,4.24107488617301,4.259493827819824,0.8945849272859947
46,"With the help of the video surveillance , the chances of people performing crimes can be decreased .
",0,28.98788405102451,71.49133940786123,9.218938827514648,9.195844687521458,5.989019870758057,3.206824816763401,3.229918956756592,0.7008304342918082
47,"However , video surveillance may be a help to most sectors , it can also be misused by many people .
",0,33.5682636893055,89.8444654867053,10.994648933410645,10.965534456074238,8.688158750534058,2.27737570554018,2.306490182876587,0.6460241798037961
48,"Some may use it to peek or record something illegal .
",1,26.287515581873777,55.792809009552,9.183146476745605,7.8693952560424805,3.980240821838379,3.8891544342041016,5.202905654907227,0.7986766010966401
49,"For example , it could be installed in personal lockers to record other 's moves and actions .
",1,32.9829350728594,94.99429687857628,10.022041320800781,9.576673835515976,6.358590602874756,3.21808323264122,3.6634507179260254,0.5376549083477272
50,"This technology could also be seen as invasion of human 's privacy .
",0,32.6838529657799,70.60334193706512,11.28300952911377,10.978588968515396,6.344027519226074,4.634561449289322,4.938982009887695,0.6649888524143294
51,"Surveillance technology could cause everyone to feel paranoid and as if our actions are being watched .
",1,26.187940497181845,68.90444880723953,7.749764442443848,7.293895930051804,4.112072944641113,3.1818229854106903,3.6376914978027344,0.8747264180747365
52,"This could lead to psychological implications and thus causing many tremendous social effects that may be harmful to our society .
",0,33.83297843006648,96.52393954247236,11.655644416809082,11.568858034908772,7.858536005020142,3.71032202988863,3.7971084117889404,0.8998728479783624
53,"If everyone is being watched unknowingly , it seems that our freedom of doing things is being invaded .
",0,31.328414709233478,84.40718395635486,12.262014389038086,12.201810706406832,9.030503034591675,3.171307671815157,3.231511354446411,0.7179060700132714
54,"Technology can be a very useful tool if being used in the correct manner .
",0,21.936258781493017,46.510682225227356,8.259465217590332,7.788407802581787,5.81965970993042,1.9687480926513672,2.439805507659912,0.856713382523102
55,"It may be a help to prevent potential crimes from happening but also help people do crime .
",0,28.460465543242318,80.64567095041275,9.408247947692871,8.542727530002594,5.125651836395264,3.4170756936073303,4.282596111297607,0.8821303640394135
56,"The knowledge of installing surveillance should be taught to everyone so that crimes can be eliminated instead of increasing it .
",0,35.297887662539466,93.05363023094833,12.082188606262207,12.054631309583783,7.984890460968018,4.069740848615766,4.0972981452941895,0.8998728479783624
57,"The more people using it over us , the more power they will have on us .
",0,27.29450618428141,64.15940555930138,9.41760540008545,9.091455906629562,6.010132551193237,3.081323355436325,3.407472848892212,0.6815190674406459
58,"We should respect that everyone has human rights and without other 's permission , this should not be placed or implanted to anyone .
",0,35.411596567198636,127.1486148238182,10.0979642868042,9.809387266635895,5.591311931610107,4.218075335025787,4.506652355194092,0.6929996336844048
59,"We do not want to be sued infringing other 's privacy , therefore , before implanting any RFID , we should ask for other 's consent .
",0,40.310715928278995,130.58913991600275,14.39548397064209,14.297933630645275,11.362478256225586,2.935455374419689,3.033005714416504,0.45287232301740005
60,"Surveillance technology is getting more and more widely used with the development of modern technology in terms of various scientific breakthroughs .
",1,27.79125748023472,85.68910316145048,8.333246231079102,8.328561923466623,5.021050214767456,3.3075117086991668,3.3121960163116455,0.9046546841022693
61,"And after all this scientific research result is applied to daily life , products such as RFID tracking system have become real .
",0,37.20109371246865,110.45212710648775,12.3169527053833,12.282996110618114,8.556223630905151,3.726772479712963,3.7607290744781494,0.7702206670132986
62,"RFID is not only used to track products for logistical and storage purpose , it is also used to track people by doing human implants .
",0,26.33229087488157,97.05632424354553,8.43108081817627,8.064449846744537,4.749761581420898,3.314688265323639,3.681319236755371,0.7982201482105563
63,"It is unacceptable for some people in the society , however , I think this application is necessary and provides the society a lot of benefit .
",0,30.806847139729506,102.59096458554268,9.429083824157715,9.311208814382553,6.876368284225464,2.4348405301570892,2.552715539932251,0.728897238850643
64,"Surveillance technology such as RFID has been used to track people may help to reduce the number of people who get lost .
",0,29.736785861974596,76.25582512910478,12.901576042175293,12.898665852146223,10.948091268539429,1.9505745836067945,1.9534847736358643,0.9089998905159377
65,"For example , there are always news on newspaper , report that some elderly get lost at certain place and their family are looking for him or her .
",0,32.7695257036503,118.27419869601727,9.508071899414062,9.379264459013939,6.454137325286865,2.9251271337270737,3.0539345741271973,0.7235020694809541
66,"The family members must be worrying a lot about the lost elderly , and with the help of police office , maybe they can find the elderly back , but it will take a long time , and a lot of energy to find someone in a country has a population about five million without knowing the exact location of that person .
",0,37.79799375034298,227.68256014585495,12.129974365234375,12.085032679140568,9.26597809791565,2.8190545812249184,2.8639962673187256,0.7721187598168097
67,"However , if the elderly has been implanted with RFID devices , then it will be much easier for the family to find him or her with the special serial number issued to each device differently .
",0,38.6670287784026,139.3080203421414,13.24494457244873,13.202700328081846,10.856093645095825,2.346606682986021,2.3888509273529053,0.8048102359601836
68,"They can track the location of the device with the information provided by the RFID signals ; therefore find the location of the lost elderly in a shorter period of time .
",0,37.080037013431486,114.81769433803856,11.65249252319336,11.645853197202086,9.115197658538818,2.530655538663268,2.537294864654541,0.9354581231918447
69,"Surveillance technology such as RFID is not only useful to track the lost people but also useful to prevent the trading of children which happens in many developing countries .
",0,33.187174946225426,112.58423285069875,11.454704284667969,11.451794094638899,8.941574335098267,2.5102197595406324,2.513129949569702,0.9310012442587496
70,"It may be known that young children may be stolen by some agency that doing the business to trade the children .
",0,36.176477258352,108.46339339017868,11.033849716186523,10.168329298496246,7.195711612701416,2.9726176857948303,3.8381381034851074,0.9046546841022693
71,"For example , they may wait in the public area and wait for parents to bring their children out but did n't pay attention to the child , so that this kind of agency may bring the child to mountain area and sell him or her with a good price .
",0,39.46593101580302,195.33245986141264,13.547470092773438,13.521155944094062,10.453100204467773,3.0680557396262884,3.094369888305664,0.7852568847240251
72,"Since this is happen more often in the country which is much larger than Singapore , it is even harder or maybe it is impossible for the parents to find the child back without knowing where the child has been brought to .
",0,32.74487387757371,149.22595965862274,12.204622268676758,11.907006651163101,9.524319171905518,2.3826874792575836,2.6803030967712402,0.782743215835262
73,"Since this may happen across province , and without any clue about the path that the child may went through .
",0,34.3050770369807,106.59618425369263,10.870477676391602,9.599855542182922,6.3278398513793945,3.272015690803528,4.542637825012207,0.6964175548140908
74,"However , if the child has been installed with tracking device , more information will be provided along the way when the family is trying to find him or her back .
",0,34.2909579994467,124.47883019410074,10.570676803588867,10.542435059323907,7.668715715408325,2.8737193439155817,2.901961088180542,0.7730538850524606
75,"Not only the details of location will be provided , but also may lead to find out the root of this kind of children trading agency and it helps to prevent more this kind of tragedy to happen on any family .
",0,37.01162128312541,180.66698862984776,11.070991516113281,11.056361922994256,7.196202754974365,3.860159168019891,3.874788761138916,0.8277949243462907
76,"Surveillance technology will help to prevent the family to loss their member especially the elderly and the children which need to be pay more attention to .
",0,33.688337258724424,116.4858445674181,10.029754638671875,9.887008234858513,7.12996506690979,2.757043167948723,2.899789571762085,0.9230270129232905
77,"As the technology increasingly advances , many of things that are regarded as impossible are turning into the 'possibles' .
",0,29.906840252944384,91.47412564605474,9.138935089111328,9.017783738672733,6.337557554244995,2.680226184427738,2.801377534866333,0.7331182714829259
78,"From internet , email to the most powerful surveillance technology , every step is advancement to not only the society but also the world 's achievements .
",0,41.431765945649026,135.4450020492077,15.382786750793457,15.266236513853073,11.895884037017822,3.370352476835251,3.4869027137756348,0.6243569966643056
79,"People 's lives become from increasingly convenient to almost luxury , thanks to the implementation of increasingly technology available for the Man 's life .
",0,38.98702881909556,142.80820808932185,11.069756507873535,11.015627149492502,5.2947797775268555,5.720847371965647,5.77497673034668,0.6221921914994265
80,"However , such rapid advancement technology though can be extremely useful to our daily life ; it can also cause the invisible or massive threats to our peaceful livings that can be out of our imaginations and estimations .
",0,37.27785760712074,182.06487420853227,10.164677619934082,10.155748416669667,6.5515007972717285,3.6042476193979383,3.6131768226623535,0.8947128105636698
81,"Today , the surveillance technology has become almost manifest to wherever we go .
",0,34.29234444953892,71.43549907207489,12.477492332458496,11.38653552532196,9.25509786605835,2.131437659263611,3.2223944664001465,0.6910430034056007
