,Sentence,Label,weightedSum,sum,min,max/min,max/med,med/min,med,bleu
0,"In modern digital world , electronic products are widely used in daily lives such as Smart phones , computers and etc .
",0,18.86788571213158,26.975531950633012,7.960659980773926,7.960612417398806,7.950271749868989,0.010340667529817438,0.01038823090493679,0.53228860493828
1,"In work places , electronic devices such as computers are also inevitable to use to increase the productivity of the corporation .
",0,16.491817552597304,21.340562777033483,8.410364151000977,8.410293819993967,8.407430188730359,0.002863631263608113,0.002933962270617485,0.7590642198243758
2,"The convenience and high efficiency of using electronic products is being noticed by people worldwide .
",0,15.532856841893867,24.181668544188142,8.032410621643066,8.023176638409495,7.6264505088329315,0.39672612957656384,0.4059601128101349,0.8663262786122014
3,"Some people started to think if electronic products can be further operated to more advanced utilization and replace human beings for better performances .
",0,65.39025438487073,125.67448501568288,29.91421127319336,29.909239393658936,28.02498757839203,1.8842518152669072,1.8892236948013306,0.9129657485960063
4,"Surveillance technology such as RFID ( radio-frequency identification ) is one type of examples that has currently been implemented .
",0,35.47805771108459,64.03677925161901,14.076601028442383,14.0762625313655,13.942960485816002,0.13330204554949887,0.13364054262638092,0.6269523431007493
5,"In this essay , I will discuss that if surveillance technology such as RFID ( radio-frequency identification ) should be used or not to track people .
",0,24.059680997086456,26.726843874408587,18.285879135131836,18.28586435328907,18.2842846714193,0.0015796818697708659,0.0015944637125357985,0.6092731467609276
6,"Personally , I agree to a large extent that surveillance technology such as RFID should be used to track people .
",0,15.48005207249193,15.793243702822565,14.872892379760742,14.872887611400529,14.871847222209908,0.0010403891906207718,0.0010451575508341193,0.7997222808340979
7,"Surveillance technology such as RFID can be operated twenty-four hours with the absence of operators to track done every detail about human activities .
",0,31.471387264134947,43.77838542025529,14.076601028442383,14.076595306412855,14.069174871314317,0.007420435098538292,0.0074261571280658245,0.9129657485960063
8,"For instance , in militaries which are of high importance , surveillance technology is essential as it is a way to provide undeniable evidences if anything are fault .
",0,14.360628586511691,16.14105876186113,10.669966697692871,10.66994249849995,10.664923650212586,0.005018848287363653,0.005043047480285168,0.7235020694809541
9,"In supermarkets where it is difficult to catch stealers , surveillance technology which makes records that can be replayed or detect stealers on the spot are superior to use .
",0,24.184919346001948,43.14959532667126,8.533304214477539,8.533298492448012,8.49421777203679,0.03908072041122068,0.039086442440748215,0.7549410827807058
10,"The high accuracy in utilizing surveillance technology eliminates the amount of disagreements among people .
",0,16.859284746766605,25.913367270729395,6.6345672607421875,6.6345542670142095,6.554148145020008,0.08040612199420138,0.08041911572217941,0.856713382523102
11,"If people are aware of the existence of surveillance , the chance for them to follow rules and orders is high .
",0,36.270585210268926,41.387467151131204,28.760780334472656,28.76076841361464,28.757545582717285,0.0032228308973571984,0.00323475175537169,0.7590642198243758
12,"It is useful as it reduces the chances of wrong doings that may occur .
",0,4.9960906498277176,5.958923824567137,3.558084011077881,3.55807363992335,3.555384943727404,0.0026886961959462496,0.00269906735047698,0.856713382523102
13,"Therefore , surveillance technology makes our society more ordered .
",0,9.838311520041595,10.952731524123237,8.386139869689941,8.386136651044353,8.30193530768156,0.08420134336279261,0.08420456200838089,0.5507970427873699
14,"Risks can be analyzed if there is a record of what was happened in the past .
",0,32.189388859553695,50.5039256308587,12.820403099060059,12.820397019404936,12.67552898824215,0.1448680311627868,0.14487411081790924,0.8747264180747365
