Sentence,Perplexity,Min Prob,Label
"In modern digital world , electronic products are widely used in daily lives such as Smart phones , computers and etc .
",41.375274658203125,3777.49853515625,0
"In work places , electronic devices such as computers are also inevitable to use to increase the productivity of the corporation .
",62.896522521972656,138633.125,0
"The convenience and high efficiency of using electronic products is being noticed by people worldwide .
",69.19145965576172,28311.712890625,0
"Some people started to think if electronic products can be further operated to more advanced utilization and replace human beings for better performances .
",186.5081787109375,277434.0625,0
"Surveillance technology such as RFID ( radio-frequency identification ) is one type of examples that has currently been implemented .
",26.572067260742188,144077.015625,0
"In this essay , I will discuss that if surveillance technology such as RFID ( radio-frequency identification ) should be used or not to track people .
",26.694541931152344,54981.6015625,0
"Personally , I agree to a large extent that surveillance technology such as RFID should be used to track people .
",30.774599075317383,26847.615234375,0
"Surveillance technology such as RFID can be operated twenty-four hours with the absence of operators to track done every detail about human activities .
",64.54676055908203,176865.390625,0
"For instance , in militaries which are of high importance , surveillance technology is essential as it is a way to provide undeniable evidences if anything are fault .
",99.12986755371094,2780155.5,0
"In supermarkets where it is difficult to catch stealers , surveillance technology which makes records that can be replayed or detect stealers on the spot are superior to use .
",125.56017303466795,501156.125,0
"The high accuracy in utilizing surveillance technology eliminates the amount of disagreements among people .
",308.4255676269531,507168.03125,0
"If people are aware of the existence of surveillance , the chance for them to follow rules and orders is high .
",40.835540771484375,5011.35986328125,0
"It is useful as it reduces the chances of wrong doings that may occur .
",38.39887237548828,5070.47119140625,0
"Therefore , surveillance technology makes our society more ordered .
",186.2247009277344,777525.9375,0
"Risks can be analyzed if there is a record of what was happened in the past .
",36.2667236328125,5497.09326171875,0
"In late nineteenth century , there was a severe air crash happening at Miami international airport .
",109.70122528076172,19795.509765625,0
"The air cargo of the Valujet plane was on fire after the plane had taken off .
",52.396366119384766,9207.9970703125,0
"Sooner or later , the electric systems were short circuited as a result that the airplane was out of control and nose diving to the ground with extremely high speed .
",30.54674530029297,8348.6865234375,0
"All passengers and pilots were died .
",232.86468505859372,114627.03125,0
"After finding and analyzing the black box of the Valujet after the incidence , police investigators found out reasons for causing this severe incidence .
",140.93931579589844,1106560.625,0
"Surveillance technology can be used to detect very risky events and prevent its happening in the future , hence to save more lives .
",34.278743743896484,8103.36181640625,0
"In addition , if surveillance technology is even better developed , it can be used to detect the problem before the real accidence has happened .
",55.118595123291016,212909.484375,0
"However , the dark side of using surveillance technology is that it results in the invasion of privacy .
",31.3710994720459,107979.8359375,0
"People under supervision are under high pressure to perform naturally .
",102.65142822265624,54331.66796875,1
"People are less likely to enjoy life under surveillance .
",57.88831329345703,2614.2958984375,1
"Therefore , surveillance technology provides convenience to the society but makes more inconvenience to individuals .
",121.4197998046875,777525.9375,0
"Therefore , surveillance technology can be used but the use of surveillance should be modified in such a way that individuals are less affected in normal life .
",35.475460052490234,777525.9375,1
"In general , surveillance technology benefits the society and should be applied with the consideration of individuals ' life .
",81.26899719238281,43678.66796875,0
"I do not agree on this argument that surveillance technology should not be used to track people .
",36.03544998168945,28290.47265625,0
"In this fast moving society , technology is always improving to catch up the fast pace of this world and most surveillance technology is used by the police or other army usage to track people down .
",50.91404342651367,108945.2109375,0
"Although the surveillance technology is an issue in invading the human privacy , it has also brought us lots of benefits and security .
",58.53321838378906,633286.875,0
"There are two points supporting this argument .
",50.4513053894043,38149.4609375,1
"Firstly , security systems are improved in many areas such as school campus or at the workplace .
",108.92000579833984,39470.09765625,0
"Secondly , it makes it possible for parents to track their children and also their elderly parents .
",28.45585250854492,22481.150390625,1
"Therefore , this technology should be used to track people .
",51.28824615478516,33926.84765625,1
"Many of this surveillance are being implemented in the government sectors , military areas to enhance their security .
",141.46429443359375,17076.58203125,0
"It can also be found in schools and workplaces .
",24.15147018432617,5683.06787109375,1
"It is useful to the government and the people in the law sector .
",50.260963439941406,4977.8837890625,0
"They can maintain social control and recognize threats .
",112.6366729736328,5652.80908203125,1
"Video surveillance gives people a sense of security should anything happen .
",62.82266998291016,72792.0546875,1
"In addition , it can provide all day surveillance around the school or office with little manpower needed .
",116.16526794433594,14530.1142578125,1
"For example , intruders can be detected if there are any in schools or offices .
",57.52865982055664,245517.90625,1
"This can protect the students from being in a dangerous situation in particularly for the small children who are studying in nursery .
",54.14622497558594,35733.01953125,0
"In addition , it can also prevent theft .
",66.43473052978516,14530.1142578125,1
"This technology can also be a helpful tool to assist the law enforcers such as the police to collect evidences of crime after it occurred .
",25.221635818481445,8736.9248046875,0
"This can increase the efficiency of solving the crime and thus decreasing the amount of criminal acts or people .
",52.70555877685547,37509.64453125,0
"With the help of the video surveillance , the chances of people performing crimes can be decreased .
",44.18146133422852,21974.892578125,0
